Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,1627.0,1639.75,1618.550048828125,1628.699951171875,1610.2340087890625,2190689
2023-01-03,1622.199951171875,1643.0,1622.199951171875,1639.3499755859375,1620.76318359375,4189015
2023-01-04,1635.0,1645.75,1607.0,1610.050048828125,1591.7955322265625,5175800
2023-01-05,1615.0,1618.050048828125,1589.4000244140625,1599.699951171875,1581.562744140625,5470718
2023-01-06,1602.0,1609.0999755859375,1578.199951171875,1594.4000244140625,1576.3228759765625,4546231
2023-01-09,1596.0,1611.550048828125,1590.0,1597.5,1579.3876953125,5364670
2023-01-10,1600.0,1600.0,1565.0,1568.300048828125,1550.518798828125,8185883
2023-01-11,1567.949951171875,1598.0,1560.0,1590.9000244140625,1572.862548828125,7597899
2023-01-12,1587.800048828125,1603.9000244140625,1584.1500244140625,1599.4000244140625,1581.2662353515625,4625035
2023-01-13,1598.75,1609.9000244140625,1586.0,1600.6500244140625,1582.5020751953125,4622273
2023-01-16,1615.0,1621.300048828125,1580.300048828125,1585.300048828125,1567.326171875,7374047
2023-01-17,1589.800048828125,1611.0,1577.5,1608.9000244140625,1590.6585693359375,5393177
2023-01-18,1605.0,1641.5999755859375,1599.699951171875,1637.300048828125,1618.736572265625,9545321
2023-01-19,1637.0,1650.0,1633.0,1644.0999755859375,1625.4593505859375,5586081
2023-01-20,1644.0999755859375,1669.0,1643.4000244140625,1660.949951171875,1642.1182861328125,9421702
2023-01-23,1666.25,1682.5999755859375,1661.4000244140625,1673.0999755859375,1654.130615234375,7722200
2023-01-24,1675.050048828125,1702.4000244140625,1675.0,1695.5,1676.276611328125,12491970
2023-01-25,1691.4000244140625,1692.949951171875,1645.300048828125,1648.6500244140625,1629.9578857421875,7352071
2023-01-27,1632.0,1637.0,1589.949951171875,1615.800048828125,1597.4803466796875,17589974
2023-01-30,1595.0,1625.300048828125,1582.0,1614.1500244140625,1595.8489990234375,9256411
2023-01-31,1619.699951171875,1622.699951171875,1595.0,1603.5,1585.3197021484375,9298122
2023-02-01,1624.0,1665.0,1606.0,1627.550048828125,1609.0970458984375,8651395
2023-02-02,1608.0999755859375,1624.5,1588.75,1603.3499755859375,1585.17138671875,8748553
2023-02-03,1611.0,1660.5,1607.0,1658.800048828125,1639.9927978515625,7205550
2023-02-06,1660.0,1669.4000244140625,1646.199951171875,1651.75,1633.022705078125,5583836
2023-02-07,1659.4000244140625,1664.9000244140625,1632.5999755859375,1654.199951171875,1635.44482421875,5132294
2023-02-08,1654.25,1668.199951171875,1650.0,1654.0,1635.2471923828125,4222413
2023-02-09,1660.0,1661.6500244140625,1635.550048828125,1650.550048828125,1631.8363037109375,5888668
2023-02-10,1648.800048828125,1658.5,1642.199951171875,1657.0999755859375,1638.31201171875,4086058
2023-02-13,1655.0,1661.75,1644.550048828125,1658.3499755859375,1639.5478515625,2868472
2023-02-14,1665.0,1677.5,1657.949951171875,1673.699951171875,1654.7237548828125,5454296
2023-02-15,1678.0,1678.0,1656.75,1670.300048828125,1651.3624267578125,5719356
2023-02-16,1673.199951171875,1681.9000244140625,1661.0,1664.25,1645.3809814453125,4031250
2023-02-17,1661.0,1668.1500244140625,1642.949951171875,1655.9000244140625,1637.1256103515625,4478135
2023-02-20,1660.0,1669.449951171875,1634.800048828125,1640.3499755859375,1621.7518310546875,4043353
2023-02-21,1640.0,1662.3499755859375,1634.0,1646.5,1627.8321533203125,6194648
2023-02-22,1639.0,1641.949951171875,1609.050048828125,1614.199951171875,1595.8983154296875,5179551
2023-02-23,1613.0,1618.8499755859375,1592.0999755859375,1603.25,1585.072509765625,13941005
2023-02-24,1617.9000244140625,1617.9000244140625,1585.199951171875,1588.949951171875,1570.9346923828125,8530870
2023-02-27,1585.9000244140625,1599.0,1577.300048828125,1592.9000244140625,1574.8399658203125,7156486
2023-02-28,1592.0,1605.300048828125,1588.699951171875,1599.5999755859375,1581.4638671875,9496996
2023-03-01,1612.0,1613.0,1595.75,1598.050048828125,1579.9315185546875,7068628
2023-03-02,1594.0,1605.949951171875,1582.0,1584.449951171875,1566.485595703125,8695907
2023-03-03,1596.0,1620.0,1588.0,1615.9000244140625,1597.5791015625,7493117
2023-03-06,1620.0,1639.449951171875,1618.050048828125,1627.300048828125,1608.8499755859375,13502355
2023-03-08,1620.0,1639.5,1620.0,1630.550048828125,1612.0631103515625,10049887
2023-03-09,1629.949951171875,1645.949951171875,1627.0,1630.699951171875,1612.2113037109375,10350083
2023-03-10,1610.449951171875,1613.75,1585.0,1588.6500244140625,1570.6380615234375,13693500
2023-03-13,1587.9000244140625,1603.800048828125,1564.949951171875,1568.550048828125,1550.7659912109375,13221775
