,Date,Negative,Neutral,Positive
2023-01-01,2023-01-01,0.20011555745233114,0.6073638182399529,0.19252062292237362
2023-01-02,2023-01-02,0.23207886891415044,0.6269836925019167,0.14093743065543665
2023-01-03,2023-01-03,0.17555631346216324,0.6081486472958013,0.21629503157578012
2023-01-04,2023-01-04,0.17555631346216324,0.6081486472958013,0.21629503157578012
2023-01-05,2023-01-05,0.1932197364803869,0.6134014028486692,0.19337885595288953
2023-01-06,2023-01-06,0.23586310564773152,0.6014861399059495,0.16265075826086098
2023-01-07,2023-01-07,0.23676264470052572,0.6062610483457965,0.156976297257408
2023-01-08,2023-01-08,0.2390738313551992,0.6816142960451543,0.07931187053327445
2023-01-09,2023-01-09,0.2390738313551992,0.6816142960451543,0.07931187053327445
2023-01-10,2023-01-10,0.19757133783110653,0.6462777696765405,0.1561508694344223
2023-01-11,2023-01-11,0.19757133783110653,0.6462777696765405,0.1561508694344223
2023-01-12,2023-01-12,0.19757133783110653,0.6462777696765405,0.1561508694344223
2023-01-13,2023-01-13,0.19985267937982612,0.6276468468221048,0.1725004641003369
2023-01-14,2023-01-14,0.114079751323202,0.5645572269528076,0.3213630353004254
2023-01-15,2023-01-15,0.259659743069538,0.542851024972541,0.19748923558342665
2023-01-16,2023-01-16,0.259659743069538,0.542851024972541,0.19748923558342665
2023-01-17,2023-01-17,0.15417172754987152,0.631708276751515,0.21411999894388986
2023-01-18,2023-01-18,0.15232771866672035,0.6252663448864332,0.22240593404926218
2023-01-19,2023-01-19,0.18037264755407498,0.6455273469910026,0.17410000530419062
2023-01-20,2023-01-20,0.1248938806027581,0.6394622425315901,0.2356438787450315
2023-01-21,2023-01-21,0.25176577499279607,0.4878112483196534,0.26042299442745453
2023-01-22,2023-01-22,0.13548839352072467,0.5494345677452106,0.3150770303186481
2023-01-23,2023-01-23,0.13678356428817642,0.6338131471177725,0.2294032901129502
2023-01-24,2023-01-24,0.1174472886243764,0.6622790796800128,0.2202736224899587
2023-01-25,2023-01-25,0.2131063487297718,0.6339824119972628,0.15291122205432703
2023-01-26,2023-01-26,0.2639781975417352,0.5217599801764619,0.2142618333284811
2023-01-27,2023-01-27,0.2639781975417352,0.5217599801764619,0.2142618333284811
2023-01-28,2023-01-28,0.2598785877853515,0.6023288981523365,0.1377925190754467
2023-01-29,2023-01-29,0.18199008256488008,0.6520905653014779,0.16591934081952783
2023-01-30,2023-01-30,0.19040911468334662,0.6279676038472132,0.18162327229805372
2023-01-31,2023-01-31,0.19040911468334662,0.6279676038472132,0.18162327229805372
2023-02-01,2023-02-01,0.19040911468334662,0.6279676038472132,0.18162327229805372
2023-02-02,2023-02-02,0.19040911468334662,0.6279676038472132,0.18162327229805372
2023-02-03,2023-02-03,0.19264447293386266,0.6197044396454968,0.18765107230510467
2023-02-04,2023-02-04,0.19264447293386266,0.6197044396454968,0.18765107230510467
2023-02-05,2023-02-05,0.1894965357173027,0.6726754604735308,0.13782801362685856
2023-02-06,2023-02-06,0.2214516707711542,0.6049775654574235,0.17357077647621427
2023-02-07,2023-02-07,0.2214516707711542,0.6049775654574235,0.17357077647621427
2023-02-08,2023-02-08,0.20679381285816517,0.6391340223062469,0.15407216405294025
2023-02-09,2023-02-09,0.26876834147410944,0.5805010032118036,0.1507306301709934
2023-02-10,2023-02-10,0.28173556316608517,0.5611847125236755,0.15707972048498361
2023-02-11,2023-02-11,0.37923284663608475,0.4403090499221317,0.1804581132356918
2023-02-12,2023-02-12,0.32780145932102217,0.5540035291499382,0.11819499101791828
2023-02-13,2023-02-13,0.19768779008730927,0.6481462479266641,0.15416595659085677
2023-02-14,2023-02-14,0.23624375757075322,0.5767848797102448,0.18697135600822182
2023-02-15,2023-02-15,0.17421689052966285,0.6341790950724057,0.19160400799342558
2023-02-16,2023-02-16,0.18243215428665277,0.672346169874072,0.14522166660055513
2023-02-17,2023-02-17,0.2343570926685869,0.6177985000389593,0.14784440719005132
2023-02-18,2023-02-18,0.2706203989285443,0.6213426815611975,0.10803691377597192
2023-02-19,2023-02-19,0.20268131620679536,0.600382795165244,0.1969358680377665
2023-02-20,2023-02-20,0.20268131620679536,0.600382795165244,0.1969358680377665
2023-02-21,2023-02-21,0.19115675721861566,0.6577955531233018,0.1510476934871092
2023-02-22,2023-02-22,0.20210839249871812,0.6337981121976254,0.1640934822244515
2023-02-23,2023-02-23,0.30520290316623705,0.5376677979538972,0.15712929354678531
2023-02-24,2023-02-24,0.25302478010350815,0.6076112593502991,0.1393639479435726
2023-02-25,2023-02-25,0.25302478010350815,0.6076112593502991,0.1393639479435726
2023-02-26,2023-02-26,0.4105172929664453,0.5177445919977294,0.07173811925782093
2023-02-27,2023-02-27,0.21320177219026024,0.6113780160936025,0.17542021017736537
2023-02-28,2023-02-28,0.34609830241504613,0.5282564278517803,0.12564526658451597
2023-03-01,2023-03-01,0.2052141882954259,0.6237375015261197,0.17104830479983124
2023-03-02,2023-03-02,0.30664482405485555,0.6012818650571538,0.09207329843727653
2023-03-03,2023-03-03,0.30664482405485555,0.6012818650571538,0.09207329843727653
2023-03-04,2023-03-04,0.30664482405485555,0.6012818650571538,0.09207329843727653
2023-03-05,2023-03-05,0.30664482405485555,0.6012818650571538,0.09207329843727653
2023-03-06,2023-03-06,0.39246952317905826,0.5485154579823407,0.0590150349710781
2023-03-07,2023-03-07,0.34849127999995455,0.5308569412312059,0.12065178161242697
2023-03-08,2023-03-08,0.27587110318748626,0.5665416414770534,0.15758724737186297
2023-03-09,2023-03-09,0.2824775279779937,0.602744917936471,0.11477755537560701
2023-03-10,2023-03-10,0.25338338849903547,0.6078108855016879,0.13880572658682225
2023-03-11,2023-03-11,0.25338338849903547,0.6078108855016879,0.13880572658682225
2023-03-12,2023-03-12,0.25338338849903547,0.6078108855016879,0.13880572658682225
2023-03-13,2023-03-13,0.2216154850477057,0.5828023765281569,0.1955821373011553
2023-03-14,2023-03-14,0.2216154850477057,0.5828023765281569,0.1955821373011553
2023-03-15,2023-03-15,0.2216154850477057,0.5828023765281569,0.1955821373011553
2023-03-16,2023-03-16,0.21631608993568,0.6468378429281267,0.13684605666376806
2023-03-17,2023-03-17,0.21631608993568,0.6468378429281267,0.13684605666376806
2023-03-18,2023-03-18,0.2370424581207083,0.5824103795394704,0.18054717454455185
2023-03-19,2023-03-19,0.22696028564866905,0.6727060132004596,0.10033369921923921
2023-03-20,2023-03-20,0.22696028564866905,0.6727060132004596,0.10033369921923921
2023-03-21,2023-03-21,0.22292605978018573,0.546221021192094,0.2308529120716221
2023-03-22,2023-03-22,0.18509536480580985,0.6094390756361896,0.20546554601640393
2023-03-23,2023-03-23,0.2552505706031746,0.6192404027641206,0.12550901337950063
2023-03-24,2023-03-24,0.2552505706031746,0.6192404027641206,0.12550901337950063
2023-03-25,2023-03-25,0.2136245414149016,0.6249419590863197,0.16143348622743198
2023-03-26,2023-03-26,0.2136245414149016,0.6249419590863197,0.16143348622743198
2023-03-27,2023-03-27,0.2136245414149016,0.6249419590863197,0.16143348622743198
